feature,importance,importance_pct,cumulative_pct
text__abeja,0.00012893617,0.012893617,99.81367
cat__listing_type_id_gold,0.00012816484,0.012816484,99.826485
text__corta,0.00012389667,0.012389666,99.838875
text__125,0.00011019041,0.011019041,99.84989
text__disco vinilo,0.00010510636,0.010510636,99.860405
cat__category_id_MLA1468,0.00010105972,0.010105972,99.870514
text__usados,0.000100836674,0.010083667,99.8806
text__benz,9.548558e-05,0.009548558,99.89015
text__cd nuevo,8.572418e-05,0.008572418,99.89873
text__sandalias,8.456169e-05,0.008456169,99.90718
text__2004,8.3273306e-05,0.00832733,99.915504
text__of,8.2978186e-05,0.008297819,99.923805
text__unico,8.266018e-05,0.008266019,99.93207
text__john,8.241697e-05,0.008241697,99.94031
text__new,8.099472e-05,0.008099472,99.94841
text__oro,7.615367e-05,0.0076153674,99.956024
text__cargador,7.07091e-05,0.00707091,99.9631
text__perfecto,6.670116e-05,0.0066701164,99.969765
text__usado,6.157228e-05,0.0061572283,99.97592
cat__currency_id_ARS,4.4188437e-05,0.004418844,99.98034
cat__category_id_MLA1963,4.323896e-05,0.004323896,99.984665
text__guitarra,3.8444916e-05,0.0038444917,99.98851
text__envio,3.3896125e-05,0.0033896125,99.9919
text__dodge,2.3443941e-05,0.002344394,99.99424
text__buenos,1.7699782e-05,0.0017699782,99.99601
cat__category_id_MLA45559,1.3772677e-05,0.0013772678,99.99739
text__excelente estado,1.025721e-05,0.0010257211,99.99841
text__cover,8.2216275e-06,0.0008221627,99.99924
cat__category_id_MLA8290,7.5586327e-06,0.00075586326,99.99999
text__90,0.0,0.0,99.99999
text__8gb,0.0,0.0,99.99999
text__85,0.0,0.0,99.99999
text__80,0.0,0.0,99.99999
text__alemania,0.0,0.0,99.99999
text__aleman,0.0,0.0,99.99999
text__alberto,0.0,0.0,99.99999
text__aire acondicionado,0.0,0.0,99.99999
text__aire,0.0,0.0,99.99999
text__air,0.0,0.0,99.99999
text__agua,0.0,0.0,99.99999
text__adorno,0.0,0.0,99.99999
text__adidas,0.0,0.0,99.99999
text__adaptador,0.0,0.0,99.99999
text__acero inoxidable,0.0,0.0,99.99999
text__acero,0.0,0.0,99.99999
text__amplificador,0.0,0.0,99.99999
text__amortiguador trasero,0.0,0.0,99.99999
text__amortiguador delantero,0.0,0.0,99.99999
text__amortiguador,0.0,0.0,99.99999
text__amor,0.0,0.0,99.99999
text__americano,0.0,0.0,99.99999
text__america,0.0,0.0,99.99999
text__aluminio,0.0,0.0,99.99999
text__alto,0.0,0.0,99.99999
text__alta,0.0,0.0,99.99999
text__algodón,0.0,0.0,99.99999
text__algodon,0.0,0.0,99.99999
text__alfombra,0.0,0.0,99.99999
text__alfa,0.0,0.0,99.99999
text__arte,0.0,0.0,99.99999
text__art,0.0,0.0,99.99999
text__argentinos,0.0,0.0,99.99999
text__arg,0.0,0.0,99.99999
text__araña,0.0,0.0,99.99999
text__apple,0.0,0.0,99.99999
text__aplique,0.0,0.0,99.99999
text__antonio,0.0,0.0,99.99999
text__anteojos,0.0,0.0,99.99999
text__animal,0.0,0.0,99.99999
text__angel,0.0,0.0,99.99999
text__and,0.0,0.0,99.99999
text__banda,0.0,0.0,99.99999
text__bafle,0.0,0.0,99.99999
text__baby,0.0,0.0,99.99999
text__azul,0.0,0.0,99.99999
text__autos,0.0,0.0,99.99999
text__auriculares,0.0,0.0,99.99999
text__auricular,0.0,0.0,99.99999
text__audio,0.0,0.0,99.99999
text__audi,0.0,0.0,99.99999
text__at,0.0,0.0,99.99999
text__asiento,0.0,0.0,99.99999
text__bicicleta,0.0,0.0,99.99999
text__biblioteca,0.0,0.0,99.99999
text__belgrano,0.0,0.0,99.99999
text__bebe,0.0,0.0,99.99999
text__baño tela,0.0,0.0,99.99999
text__baño,0.0,0.0,99.99999
text__baul,0.0,0.0,99.99999
text__batman,0.0,0.0,99.99999
text__batería,0.0,0.0,99.99999
text__base,0.0,0.0,99.99999
text__barra,0.0,0.0,99.99999
text__barbie,0.0,0.0,99.99999
text__bar,0.0,0.0,99.99999
text__bandeja,0.0,0.0,99.99999
